date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20Aug%202024%2002:13:20%20GMT	http://sociedadvacunologia.org/robots.txt		(from )
22:13:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20Aug%202024%2002:13:21%20GMT	http://sociedadvacunologia.org/	/home/kasm-user/websites/vacuna/sociedadvacunologia.org/index.html	(from )
22:13:23	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://emra570.wixsite.com/robots.txt		(from http://sociedadvacunologia.org/)
22:13:24	971161/971161	---MCZ	200	added ('OK')	text/html	etag:W/%22c7d843c69420931f949de88b8014f2e9%22	https://emra570.wixsite.com/sdvweb	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb.html	(from http://sociedadvacunologia.org/)
22:13:24	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:24%20GMT	https://emra570.wixsite.com/c	/home/kasm-user/websites/vacuna/emra570.wixsite.com/c.1.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:25	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:25%20GMT	https://emra570.wixsite.com/t	/home/kasm-user/websites/vacuna/emra570.wixsite.com/t.2.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:26	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:26%20GMT	https://emra570.wixsite.com/	/home/kasm-user/websites/vacuna/emra570.wixsite.com/index.html	(from https://emra570.wixsite.com/sdvweb)
22:13:27	7059/7059	---MCZ	200	added ('OK')	text/xml	date:Fri,%2030%20Aug%202024%2002:13:26%20GMT	https://emra570.wixsite.com/sdvweb/blog-feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/blog-feed.xml	(from https://emra570.wixsite.com/sdvweb)
22:13:28	636087/636087	---MCZ	200	added ('OK')	text/html	etag:W/%2252e6efcc574cf4267e95dc45eefac86d%22	https://emra570.wixsite.com/sdvweb/nosotros	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/nosotros.html	(from https://emra570.wixsite.com/sdvweb)
22:13:31	930577/930577	---MCZ	200	added ('OK')	text/html	etag:W/%22241818c3fe7a6d58c8632795bea793cd%22	https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results.html	(from https://emra570.wixsite.com/sdvweb)
22:13:36	930502/930502	---MCZ	200	added ('OK')	text/html	etag:W/%22967c3c6c2762a57810bd70555fc52831%22	https://emra570.wixsite.com/sdvweb/post/10-ways-to-engage-with-your-clients	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/10-ways-to-engage-with-your-clients.html	(from https://emra570.wixsite.com/sdvweb)
22:13:38	925448/925448	---MCZ	200	added ('OK')	text/html	etag:W/%22f69199314a917baa3e9394723f55e8bd%22	https://emra570.wixsite.com/sdvweb/post/how-to-stay-organized-at-work	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/how-to-stay-organized-at-work.html	(from https://emra570.wixsite.com/sdvweb)
22:13:40	925803/925803	---MCZ	200	added ('OK')	text/html	etag:W/%22b5e53e149046d64bdb40fbca73aa3447%22	https://emra570.wixsite.com/sdvweb/post/ways-to-improve-client-communication	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/ways-to-improve-client-communication.html	(from https://emra570.wixsite.com/sdvweb)
22:13:43	784718/784718	---MCZ	200	added ('OK')	text/html	etag:W/%22603cffc350699df3d77efcb972274571%22	https://emra570.wixsite.com/sdvweb/event-details/congreso-1	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/congreso-1.html	(from https://emra570.wixsite.com/sdvweb)
22:13:45	790448/790448	---MCZ	200	added ('OK')	text/html	etag:W/%222b201f51f07f7123f135c03b1e11c0e0%22	https://emra570.wixsite.com/sdvweb/event-details/conferencia-1	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/conferencia-1.html	(from https://emra570.wixsite.com/sdvweb)
22:13:46	790495/790495	---MCZ	200	added ('OK')	text/html	etag:W/%22feafe823f4f0114d004b7723d74a8aec%22	https://emra570.wixsite.com/sdvweb/event-details/simposio	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/simposio.html	(from https://emra570.wixsite.com/sdvweb)
22:13:46	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:46%20GMT	https://emra570.wixsite.com/sitemap.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sitemap.c.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:47	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:47%20GMT	https://emra570.wixsite.com/feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/feed.d.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:48	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:48%20GMT	https://emra570.wixsite.com/${i.uri}	/home/kasm-user/websites/vacuna/emra570.wixsite.com/${i.e.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:49	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:49%20GMT	https://emra570.wixsite.com/decodeURIComponent(e	/home/kasm-user/websites/vacuna/emra570.wixsite.com/decodeURIComponent(e.f.delayed	(from https://emra570.wixsite.com/sdvweb)
22:13:50	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:50%20GMT	https://emra570.wixsite.com/sdvweb/c	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/c.10.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:51	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:51%20GMT	https://emra570.wixsite.com/sdvweb/t	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/t.11.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:52	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:52%20GMT	https://emra570.wixsite.com/sdvweb/robots.txt	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/robots.12.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:53	867/867	---M--	200	added ('OK')	text/xml	etag:W/%22363-udCBmlKKZO3eDi7vpjd62jxQbHg%22	https://emra570.wixsite.com/sdvweb/sitemap.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/sitemap.xml	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:54	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:54%20GMT	https://emra570.wixsite.com/sdvweb/feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/feed.14.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:55	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:55%20GMT	https://emra570.wixsite.com/sdvweb/${i.uri}	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/${i.15.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:56	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:13:56%20GMT	https://emra570.wixsite.com/sdvweb/decodeURIComponent(e	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/decodeURIComponent(e.16.delayed	(from https://emra570.wixsite.com/sdvweb/nosotros)
22:13:58	738144/738144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2d7159d7446f444bc0738685bf2307a%22	https://emra570.wixsite.com/sdvweb/post/c	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/c.17.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:00	737019/737019	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%228e9923948e2e69e25893a6a4b81b6a63%22	https://emra570.wixsite.com/sdvweb/post/t	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/t.18.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:05	931293/931293	---MCZ	200	added ('OK')	text/html	etag:W/%2281821e4e68be0fe61cbb6cd0f7077d9a%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency.html	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
